Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1q9rhZwjwEbWdJ7L3Kgqkt,"MURDER PLOT","A MILLION WAYS TO MURDER","Kordhell",2023-10-27,126857,54,true,racistisch,2026-02-16T09:53:34Z,"phonk,drift phonk","Kordhell",0.598,0.971,2,-1.543,1,0.139,0.00178,0,0.1,0.761,140.2,4
spotify:track:2z1uMIXfOLRv8IVYJxBwzf,"IMMORTAL","IMMORTAL","PlayaPhonk",2022-05-17,135533,44,true,racistisch,2026-02-16T09:53:34Z,"phonk,drift phonk","Arista Records",0.768,0.962,8,-4.135,1,0.0609,0.73,0.889,0.233,0.765,170.046,4
spotify:track:2B9ggrfvxBGjdBL2vZ4Ne5,"Nowhere","Late Night Drive","Alx Beats",2021-10-08,120008,43,false,racistisch,2026-02-16T09:53:34Z,"drift phonk","Ренессанс",0.635,0.636,7,-8.414,1,0.0464,0.00947,0.547,0.113,0.707,75.993,3
spotify:track:7iybIWyOerqMi9y7nbGfB8,"Adrenaline","Adrenaline","chipbagov",2022-04-22,119536,38,false,racistisch,2026-02-16T09:53:34Z,"phonk,drift phonk,brazilian phonk","SAVAGE$TATION",0.805,0.721,7,-8.026,1,0.0828,0.0218,0.845,0.38,0.181,114.981,4
spotify:track:34lfu3S4fIcKZRNXzbdbo7,"Live Another Day","Phonkageddon","Kordhell",2021-08-27,133565,66,true,racistisch,2026-02-16T09:53:50Z,"phonk,drift phonk","Kordhell",0.822,0.981,9,-1.321,1,0.109,0.000593,0.748,0.0938,0.404,115.005,4
spotify:track:0cXStNML1X6nD43psyEUhy,"KILLERS FROM THE NORTHSIDE","A MILLION WAYS TO MURDER","Kordhell",2023-10-27,187500,52,true,racistisch,2026-02-16T09:54:08Z,"phonk,drift phonk","Kordhell",0.711,0.917,6,-3.324,0,0.0649,0.000856,0.685,0.104,0.255,95.98,4
spotify:track:2bz6WHG34BBniAr9b0sixw,"FATALITY","A MILLION WAYS TO MURDER","Kordhell",2023-10-27,129836,52,false,racistisch,2026-02-16T09:54:22Z,"phonk,drift phonk","Kordhell",0.703,0.954,2,-2.32,1,0.0705,0.0017,0.000027,0.164,0.13,121.888,4
spotify:track:29e4KOBzZDOX6qnpYbjwoW,"Disaster","Disaster","KSLV Noh",2021-07-21,84138,61,false,racistisch,2026-02-16T09:57:20Z,"phonk,drift phonk","KSLV Noh",0.825,0.613,0,-6.043,1,0.0941,0.0158,0.391,0.159,0.511,117.052,4
spotify:track:6O4oKV3btLiEtOgEuplIUn,"Override","Override","KSLV Noh",2021-08-27,114624,59,true,racistisch,2026-02-16T09:57:25Z,"phonk,drift phonk","KSLV Noh",0.688,0.761,4,-4.607,0,0.163,0.00477,0.414,0.175,0.536,111.011,4
spotify:track:7C6OeOzOEA0jW8E6uuVgqs,"Chase","Chase","KSLV Noh",2021-09-14,124767,52,false,racistisch,2026-02-16T09:57:32Z,"phonk,drift phonk","3066940 Records DK",0.682,0.821,8,-5.879,1,0.68,0.112,0.783,0.185,0.366,126.99,4
spotify:track:1S9thcVKBHYKqlEKlKIrbv,"Dynamic","Dynamic","KSLV Noh",2021-07-17,119718,45,false,racistisch,2026-02-16T09:57:42Z,"phonk,drift phonk","3066940 Records DK",0.756,0.676,8,-6.891,1,0.0498,0.0268,0.533,0.179,0.679,112.358,4
spotify:track:3fq2Hq0JRSvLA8cpH70KeT,"Psycho","Psycho","KSLV Noh",2022-08-08,112996,35,false,racistisch,2026-02-16T09:58:02Z,"phonk,drift phonk","KSLV Noh",0.749,0.878,1,-3.07,1,0.463,0.0297,0.914,0.147,0.875,128.656,4
spotify:track:4QQyXwqvTF9oByQlSmWhCc,"Destination","Destination","VØJ;TRVNSPORTER;The Scandalous Playaz",2022-06-24,144135,44,true,racistisch,2026-02-16T10:14:00Z,"phonk,synthwave,drift phonk","VØJ",0.646,0.708,3,-5.875,0,0.065,0.0145,0.781,0.35,0.382,128.011,4
spotify:track:2WzAAerBvZvvFXgUpSwHZ9,"MIDNIGHT","MIDNIGHT","PLAYAMANE;Nateki",2022-02-13,121972,64,false,racistisch,2026-02-16T10:20:23Z,"phonk,drift phonk,brazilian phonk","PLAYAMANE",0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,4
spotify:track:3REPhQyyEx3VxlRMIPlQg8,"Nightmare","Pt. One","plenka",2019-11-27,182802,55,false,racistisch,2026-02-20T13:21:49Z,"witch house,phonk,drift phonk","plenka",0.523,0.668,7,-8.464,1,0.236,0.0729,0.00727,0.15,0.291,130.066,4
spotify:track:3hzelPptWzx0OrSDTyIuuy,"Flare","Flare","Hensonn",2022-11-11,151971,58,false,racistisch,2026-02-20T13:22:34Z,"phonk,drift phonk","Hensonn",0.723,0.927,4,-3.066,1,0.0766,0.168,0.957,0.29,0.0347,150.03,4
spotify:track:5z7RJpEWyWIEUPEXzvM7PJ,"WARNING","WARNING","MC ORSEN",2022-03-25,130000,58,true,racistisch,2026-02-20T13:24:08Z,"phonk,drift phonk","MC ORSEN",0.818,0.786,0,-5.559,1,0.0508,0.0402,0.807,0.089,0.385,119.891,4
spotify:track:04cMUwER7r2VwqMCj4kYJ9,"Devil Eyes","Devil Eyes","ZODIVK",2022-01-28,136651,63,true,racistisch,2026-02-20T13:40:02Z,"phonk,brazilian phonk,drift phonk","ZODIVK",0.73,0.757,2,-7.379,1,0.0989,0.00189,0.833,0.157,0.259,102.378,4
spotify:track:3F8ydJz1se1vIxZTRcRjIJ,"PRINCE OF DARKNESS","PRINCE OF DARKNESS","SHADXWBXRN;ARCHEZ;KXNVRA",2022-01-14,123870,59,true,racistisch,2026-02-20T13:51:06Z,"phonk,drift phonk","SHADXWBXRN x ARCHEZ x KXNVRA",0.685,0.93,8,-4.65,1,0.0398,0.153,0.841,0.168,0.487,124.011,4
spotify:track:1Y5MJnYsIi3Qlifvss4jPI,"Twilight","Twilight","GRAVECHILL",2021-05-30,116129,60,false,racistisch,2026-02-20T13:51:12Z,"phonk,drift phonk","GRAVECHILL",0.889,0.884,4,-4.323,1,0.0379,0.0111,0.804,0.0999,0.789,124.003,4
spotify:track:72iyEnh9p6PoyJoEnAJDjO,"DEMONS IN MY SOUL","DEMONS IN MY SOUL","SCXR SOUL;Sx1nxwy",2022-09-23,117637,63,true,racistisch,2026-02-20T13:51:17Z,"phonk,drift phonk","SCXR SOUL",0.765,0.428,2,-2.789,1,0.0492,0.0249,0.92,0.297,0.422,100.006,4
spotify:track:0rRJNSrFPmOPZJRmdQbciH,"End of the World","End of the World","FORGOTTENAGE",2021-09-14,164000,55,true,racistisch,2026-02-20T13:51:25Z,"phonk,drift phonk","FORGOTTENAGE",0.605,0.911,10,-4.635,1,0.0288,0.0635,0,0.643,0.275,120.016,4
spotify:track:5Ro8cPLumZRfhhfVxBG5hJ,"Show Me Your Back","Show Me Your Back","FindMyName",2022-06-24,194400,52,false,racistisch,2026-02-20T13:51:31Z,"phonk,drift phonk","FindMyName",0.816,0.614,2,-9.707,1,0.0678,0.313,0.849,0.101,0.132,100.018,4
spotify:track:6iqAyzW5xRCF5PqzLKjsKg,"Shadow Lady - DePaul Remix","Shadow Lady (DePaul Remix)","Portwave;DePaul",2021-11-19,173296,49,false,racistisch,2026-02-20T13:51:38Z,"witch house,phonk,drift phonk","PORTWAVE",0.631,0.715,10,-4.374,0,0.0577,0.0675,0.753,0.14,0.345,103.911,4
spotify:track:5FX30idriKlEIRYTxpNf65,"AVOID ME","AVOID ME","KUTE",2022-02-11,105789,60,true,racistisch,2026-02-20T13:51:43Z,"phonk,drift phonk","KUTE",0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,4
spotify:track:0iUrxveyNUBfj0cqjYEijt,"NEON BLADE","NEON BLADE","MoonDeity",2022-06-01,265263,66,true,racistisch,2026-02-20T13:51:49Z,"phonk,drift phonk","MoonDeity",0.548,0.996,7,-2.169,1,0.112,0.0284,0.92,0.595,0.893,94.999,4
spotify:track:2QUAM6GL6MpxUgMg50VUWG,"OVERDO$E","OVERDO$E","Pharmacist",2022-04-08,181604,55,true,racistisch,2026-02-20T13:52:05Z,"phonk,drift phonk","Pharmacist",0.707,0.772,0,-3.273,1,0.109,0.000711,0.924,0.194,0.47,150.028,4
spotify:track:0wGbyS1tExQSwOYu6UceyE,"SHADOW","SHADOW","ONIMXRU;SMITHMANE",2022-07-29,162041,61,true,racistisch,2026-02-20T13:52:08Z,"phonk,drift phonk,brazilian phonk","ONIMXRU x SMITHMANE",0.721,0.692,7,-2.927,1,0.0414,0.000166,0.275,0.104,0.531,120.005,4
spotify:track:4oMyggIzClkOcCTvotFLkP,"Why Not","Why Not","Ghostface Playa",2022-04-01,165000,62,true,racistisch,2026-02-20T13:52:14Z,"phonk,drift phonk","Ghostface Playa",0.725,0.984,9,-1.638,1,0.0351,0.000718,0.895,0.372,0.931,119.983,4
spotify:track:46sBh7dXvKBvDJLqGKlkUw,"SMOKED OUT","SMOKED OUT","PRXSXNT FXTURE",2021-08-18,132580,48,true,racistisch,2026-02-20T13:52:28Z,"phonk,drift phonk","PRXSXNT FXTURE",0.671,0.628,2,-8.811,1,0.0353,0.118,0.904,0.146,0.165,124.139,4
spotify:track:01kTHp76rGti2G92XpAYjS,"S.X.N.D. N.X.D.E.S.","OH I GOT A BAD TRIP","BADTRIP MUSIC;GREEN ORXNGE;Send 1",2021-06-02,114838,53,true,racistisch,2026-02-20T13:52:53Z,"phonk,drift phonk","BADTRIP MUSIC",0.476,0.81,8,-5.769,0,0.182,0.0121,0.798,0.262,0.401,164.977,4
spotify:track:42Fs484UmP8l8vR9O4UyIo,"Swaggin' at the Partment","High as Fuck","Ghostface Playa",2020-04-06,124540,53,true,racistisch,2026-02-20T13:53:12Z,"phonk,drift phonk","Ghostface Playa",0.534,0.948,1,-4.833,0,0.0523,0.00564,0.874,0.476,0.42,92.571,4
spotify:track:5ZKyj00XSlmEoKnDGH4JZa,"Keraunos","Keraunos","PlayaPhonk",2021-02-19,144979,55,false,racistisch,2026-02-20T13:53:19Z,"phonk,drift phonk","2816827 Records DK",0.838,0.59,7,-4.305,1,0.233,0.439,0.874,0.105,0.495,150.02,4
spotify:track:3TzPVU3jj6YdTunVdKimiQ,"GHOST!","GHOST!","phonk.me;KIIXSHI",2022-12-02,231704,64,false,racistisch,2026-02-20T13:53:25Z,"phonk,drift phonk","phonk.me x KIIXSHI",0.584,0.94,0,-3.262,1,0.0993,0.023,0.436,0.198,0.406,125.03,4
spotify:track:1XmwUvnl7FSGALhWRqtJfW,"Tokyo Revengers","Tokyo Revengers","MUPP",2021-10-01,129729,46,true,racistisch,2026-02-20T13:54:05Z,"phonk,drift phonk","MUPP",0.785,0.797,10,-6.42,0,0.0429,0.742,0.37,0.12,0.555,110.994,4
spotify:track:5Sk39LuvdwuvL84jD01Dum,"vendetta!","vendetta!","MUPP;Sadfriendd",2022-05-20,107044,65,true,racistisch,2026-02-20T13:54:25Z,"phonk,drift phonk","Sadfriendd x MUPP",0.706,0.91,1,-3.527,1,0.146,0.175,0.000002,0.11,0.667,126.007,4
spotify:track:5YyW8aRFjPJwfkuAzR6k7W,"dawning","dawning","$werve",2021-05-25,123089,37,true,racistisch,2026-02-20T13:54:42Z,"phonk,drift phonk,brazilian phonk","GDS Records",0.522,0.987,8,0.916,1,0.0411,0.00111,0.947,0.28,0.56,175.131,4
spotify:track:4iwmkkwsEc0TcYOFFSNvXT,"CITY LIGHT$","CITY LIGHT$","$werve",2021-03-27,129123,36,false,racistisch,2026-02-20T13:58:32Z,"phonk,drift phonk,brazilian phonk","GDS Records",0.736,0.891,11,-9.87,1,0.102,0.00833,0.817,0.108,0.037,126.071,4
